alphas1_c,alphas2_c,alpha_c,anisotropy_c,c11_c,c13_phase_c,c22_c,c33_c,entropy_c,l1_c,l2_c,l3_c,phis1_c,phis2_c,ro12_amplitude_c,span_c,taum1_c,taum2_c,taum3_c,yamaguchi4_dbl_c,yamaguchi4_hlx_c,yamaguchi4_odd_c,yamaguchi4_vol_c,Class
44.9975,48.4042,47.8758,0.3574,0.1047,62.354,0.0136,0.0382,0.6147,0.1871,0.037,0.0175,7.641,-0.1505,0.7056,0.1565,-2.2539,4.6591,-12.366,0.1287,0.0119,0.0212,0.0798,Flax
43.9921,58.9216,48.5363,0.3199,0.3382,170.9097,0.0392,0.0212,0.538,0.2622,0.0385,0.0198,-5.0182,35.2628,0.8137,0.3986,-7.8024,3.9434,-11.748,0.1994,0,0.0156,0.0833,Flax
5.4542,40.897,24.7886,0.1368,0.6835,1.9415,0.149,0.8131,0.6463,1.1594,0.2049,0.1556,57.3462,-32.5431,0.1922,1.6457,0.8809,-41.4538,43.4564,0.0157,0.1076,0.9214,0.4752,Potatos
3.4227,87.0964,22.0795,0.1801,0.8255,8.8721,0.0891,0.8255,0.6164,1.0505,0.1756,0.122,35.6789,-48.6175,0.1235,1.7402,0.5034,-7.663,7.5947,0.0359,0.0022,0.791,0.519,Potatos
2.7757,28.9258,22.0678,0.2466,0.4757,9.6375,0.1643,0.4584,0.6195,1.0267,0.1849,0.1117,69.7007,22.1942,0.1032,1.0984,0.6819,-43.538,43.9966,0.0373,0.0613,0.8282,0.3965,Potatos
2.1658,36.9513,27.3435,0.2116,0.6261,18.7586,0.3415,0.6387,0.697,1.0888,0.245,0.1594,56.3839,-9.7766,0.1141,1.6063,2.51,-42.8268,-41.674,0.0135,0.2566,0.9446,0.2784,Potatos
2.6188,59.3408,22.0887,0.2363,0.6392,-20.0952,0.0746,0.4712,0.6245,0.9658,0.175,0.1081,65.2265,-58.0066,0.08,1.185,-0.4414,-42.5603,-42.5519,0.049,0.0696,0.8,0.3304,Potatos
2.8412,88.3835,21.835,0.2023,0.4751,-12.8356,0.13,0.4264,0.617,0.95,0.1625,0.1078,-34.3904,-69.5596,0.0202,1.0315,0.3484,25.3875,5.7113,0.0451,0.0971,0.8176,0.2605,Potatos
4.5666,67.3429,24.5217,0.1786,0.5833,9.1416,0.1185,0.4557,0.6387,0.9666,0.1736,0.121,46.2823,-51.155,0.196,1.1575,1.8042,39.6711,-42.0116,0.0041,0.0251,0.7012,0.5307,Potatos
2.606,64.1144,27.0435,0.1322,0.4604,-20.4099,0.1156,0.3709,0.7095,0.76,0.1647,0.1263,-8.9089,-41.2129,0.0962,0.9469,-1.5169,-40.7884,-43.3894,0,0.0266,0.4705,0.5539,Potatos
2.4707,30.1611,26.3387,0.1648,0.3295,-15.4948,0.1803,0.3229,0.7036,0.757,0.1662,0.1192,57.7389,5.4714,0.0829,0.8327,-1.0016,43.3174,-44.2263,0,0.0794,0.5168,0.4462,Potatos
6.3162,35.0961,25.2383,0.101,0.6264,3.8353,0.1547,0.4866,0.6476,0.877,0.1503,0.1227,-88.8019,27.7466,0.0102,1.2677,-0.7976,41.7904,41.7533,0.0566,0,0.717,0.3012,Potatos
3.5248,42.0232,20.8362,0.1415,0.4816,-2.6476,0.1747,0.6114,0.5896,1.0421,0.1536,0.1155,-76.0732,-61.3374,0.068,1.2677,-0.3643,42.6848,42.9981,0,0.1965,0.9228,0.192,Potatos
2.841,67.5392,22.1014,0.2834,0.4916,-18.3399,0.1547,0.6214,0.6103,0.9782,0.1771,0.0989,-46.5323,68.6171,0.126,1.2677,-0.9888,43.7209,37.3818,0,0.0446,0.7053,0.5042,Potatos
4.1175,50.1825,24.596,0.2,0.4891,-12.1837,0.1012,0.4806,0.6319,0.9902,0.1775,0.1183,76.7896,-56.5037,0.047,1.0709,2.4775,-40.7385,-42.2618,0.0694,0,0.8225,0.3153,Potatos
7.4617,71.9422,25.8699,0.1466,0.5153,5.856,0.1324,0.5531,0.6422,0.9365,0.1649,0.1227,74.8147,-75.1523,0.1576,1.2008,-1.2043,-32.996,-33.1715,0.0795,0,0.7814,0.2906,Potatos
6.3022,79.7224,25.5668,0.1247,0.4556,6.3016,0.0948,0.4968,0.6377,0.9916,0.1684,0.1311,49.7901,-69.4391,0.1923,1.0472,-2.2692,-24.6848,-16.4077,0.0216,0.2119,0.909,0.1486,Potatos
4.9205,84.8281,22.8325,0.1516,0.4599,7.0284,0.096,0.4599,0.6113,1.0065,0.1609,0.1185,65.2866,-70.3588,0.141,1.0157,-0.8096,10.4475,14.7707,0.0284,0.1784,0.9268,0.1523,Potatos
3.4905,84.7141,22.6149,0.1995,0.602,11.7308,0.0957,0.5818,0.625,0.9336,0.1635,0.1091,69.5833,-71.5393,0.1071,1.2795,-0.5069,-23.6696,-32.7951,0.0342,0.0947,0.7878,0.2896,Potatos
22.7863,67.2296,39.5609,0.3137,0.0756,-7.8153,0.0243,0.1373,0.7655,0.1766,0.0561,0.0293,-39.2026,38.4043,0.4014,0.2372,1.2385,-3.0128,25.4745,0.0365,0.0125,0.1229,0.0902,Beans
24.6381,62.484,41.968,0.3081,0.0929,-31.6075,0.0356,0.2062,0.7994,0.1539,0.0552,0.0292,-37.7358,36.9418,0.3787,0.3346,1.6036,-12.4591,42.161,0.0367,0.0002,0.0879,0.1135,Beans
32.7653,50.4153,45.0405,0.2435,0.0585,-27.1497,0.0408,0.1364,0.7954,0.1595,0.0524,0.0319,-28.394,26.3084,0.4808,0.2357,2.8933,-16.315,41.1015,0.0728,0.0063,0.0462,0.1184,Beans
35.3421,52.3301,45.7954,0.1827,0.0254,-41.9872,0.0434,0.1212,0.7736,0.1721,0.0489,0.0338,-19.9118,10.4356,0.5476,0.19,4.1516,-10.6773,28.8923,0.0286,0.0356,0.1153,0.0753,Beans
34.2428,63.2012,44.2553,0.2312,0.0637,-56.0235,0.0348,0.1958,0.7485,0.1762,0.0482,0.0301,-19.9292,17.51,0.5847,0.2943,2.9649,5.5357,-2.9982,0.0219,0.0495,0.1369,0.0463,Beans
31.3024,61.9857,43.5392,0.3039,0.0638,-42.5104,0.0272,0.1747,0.7795,0.1589,0.0526,0.0281,-21.3419,19.1076,0.4734,0.2657,2.2885,2.4923,-0.1669,0.0325,0.0455,0.1276,0.0339,Beans
29.3869,62.3902,44.1101,0.3629,0.0598,8.7462,0.0231,0.1002,0.8184,0.1264,0.0522,0.0244,-21.3942,20.4589,0.3759,0.1831,1.8726,3.561,-4.8367,0.0357,0.0316,0.0948,0.0408,Beans
29.6926,60.3369,44.4715,0.387,0.0495,-36.6071,0.0252,0.0896,0.8216,0.1206,0.0521,0.023,-24.3203,21.307,0.3566,0.1644,1.6674,-5.6329,22.3323,0.0394,0.0169,0.0793,0.0601,Beans
23.7233,68.4652,41.4824,0.368,0.055,-30.9638,0.0229,0.116,0.8053,0.1287,0.0508,0.0235,-24.7181,26.4374,0.3453,0.1939,-0.1823,3.8283,-8.0639,0.0332,0.017,0.0873,0.0655,Beans
26.9331,66.1251,43.2451,0.4076,0.0757,-21.413,0.0244,0.0771,0.8108,0.1307,0.0555,0.0234,-24.0446,31.2857,0.3434,0.1772,-2.7929,1.0472,-6.2992,0.0512,0.0004,0.0557,0.1024,Beans
30.3981,63.1981,44.8325,0.4404,0.0611,-118.2374,0.0335,0.1032,0.8209,0.1227,0.0569,0.0221,-10.8809,15.9558,0.3308,0.1978,-2.0334,1.3101,-5.8772,0.0525,0.0049,0.0545,0.0899,Beans
30.8588,59.4916,43.3287,0.3655,0.0437,-10.0806,0.0212,0.1506,0.7774,0.1484,0.0523,0.0243,-19.684,17.9234,0.4402,0.2156,-2.33,-10.1437,15.6367,0.0396,0.019,0.1003,0.066,Beans
27.5169,63.0147,41.3687,0.4061,0.077,-30.8157,0.0313,0.2233,0.7576,0.1721,0.0591,0.0249,-18.9395,20.9224,0.4179,0.3317,-1.933,0.1904,-7.6995,0.0476,0.0161,0.1244,0.068,Beans
21.7966,67.3577,38.9549,0.3679,0.099,-30.8768,0.0306,0.208,0.7631,0.1756,0.0588,0.0272,-24.1672,24.3902,0.3817,0.3376,1.3939,11.2912,-35.6396,0.0371,0.0276,0.1369,0.0599,Beans
22.4731,67.6022,38.9551,0.3668,0.0829,-9.7067,0.0306,0.1153,0.7528,0.1686,0.0543,0.0251,-38.0661,37.0884,0.3974,0.2288,1.5141,-2.7853,24.8887,0.0359,0.0111,0.1198,0.0812,Beans
21.461,67.2637,38.8604,0.3052,0.088,-54.9341,0.0226,0.1187,0.7581,0.1568,0.048,0.0256,-43.456,45.1458,0.392,0.2293,2.0723,-8.3122,-34.7944,0.0308,0.0008,0.1015,0.0973,Beans
1.5456,39.0665,33.8536,0.1765,0.1591,19.552,0.055,0.2091,0.8145,0.2953,0.0969,0.0678,53.1076,-36.1855,0.0875,0.4232,-1.9615,-42.6204,-43.6655,0.0134,0.0161,0.1603,0.2702,Fruit_trees
6.3538,37.7237,33.1977,0.2278,0.2257,20.5109,0.0722,0.2257,0.7867,0.32,0.1,0.0629,71.3471,-51.0144,0.1343,0.5236,0.9212,-40.9678,42.948,0.0259,0.0355,0.2178,0.2037,Fruit_trees
1.7871,63.8882,31.6439,0.1617,0.2094,22.762,0.0546,0.2498,0.7822,0.3456,0.0991,0.0715,27.9754,-56.1629,0.0668,0.5138,-1.9928,40.7266,43.7261,0.0219,0.0582,0.2533,0.1828,Fruit_trees
6.3125,83.2792,37.1573,0.1614,0.2616,-19.5731,0.098,0.1699,0.8407,0.3074,0.1099,0.0793,-32.8459,24.1767,0.0848,0.5295,-2.6533,12.8458,35.9743,0.0197,0.0965,0.2278,0.1526,Fruit_trees
4.2966,71.2212,34.4062,0.1981,0.2091,15.6795,0.083,0.1469,0.8141,0.3328,0.1116,0.0747,-17.2754,25.753,0.0885,0.439,-1.6109,36.9464,43.7183,0.0305,0.0461,0.2218,0.2206,Fruit_trees
14.8568,66.8748,38.02,0.2095,0.1965,-14.7151,0.0628,0.1965,0.8042,0.3615,0.1182,0.0772,-28.7778,24.5412,0.2857,0.4557,-1.8148,24.1304,-41.4553,0.0343,0.0498,0.2481,0.2247,Fruit_trees
14.634,74.1906,38.6076,0.165,0.2416,-20.4099,0.0995,0.1185,0.8243,0.3326,0.1119,0.0802,-32.7161,26.8332,0.2637,0.4596,-1.3297,14.294,-29.4128,0.0291,0.0651,0.2304,0.2001,Fruit_trees
20.693,64.3886,40.9906,0.2822,0.4786,-24.4077,0.0265,0.243,0.8153,0.3646,0.1349,0.0755,-11.9477,7.8938,0.3283,0.748,-1.9681,17.4104,-39.14,0.0773,0.0548,0.243,0.1999,Fruit_trees
20.0249,65.0389,39.464,0.2494,0.3648,-27.1213,0.0751,0.0896,0.7956,0.3853,0.1274,0.0765,-25.1768,17.0399,0.3562,0.5295,-1.5775,19.1248,-34.1265,0.0653,0.0632,0.2712,0.1895,Fruit_trees
18.8228,63.0049,38.9246,0.1255,0.3564,-28.54,0.1075,0.2546,0.7988,0.4197,0.1231,0.0957,-18.9112,-6.2434,0.363,0.7185,-2.4414,25.9172,-32.2968,0.0319,0.1203,0.3083,0.178,Fruit_trees
21.5369,68.3379,39.8482,0.2018,0.3342,0,0.1085,0.1085,0.7888,0.397,0.1216,0.0808,-26.7936,23.8306,0.3884,0.5512,-1.7813,6.3045,25.6859,0.0604,0.0904,0.3042,0.1444,Fruit_trees
20.0804,70.1973,40.0635,0.218,0.4977,-2.6026,0.0569,0.1678,0.8084,0.3691,0.1237,0.0794,-1.3987,-0.2368,0.349,0.7224,-2.1273,-7.0538,17.402,0.0638,0.0809,0.2706,0.1569,Fruit_trees
23.5938,62.1527,44.08,0.2185,0.38,3.1507,0.1645,0.1188,0.8671,0.3393,0.1444,0.0926,2.5603,-19.3834,0.2777,0.6634,-2.1471,20.6861,-28.7173,0.0666,0.0226,0.1217,0.3655,Fruit_trees
22.0027,71.0153,44.1858,0.2063,0.2984,39.0939,0.1297,0.1211,0.8757,0.3123,0.1362,0.0896,22.6714,-41.5921,0.2628,0.5492,-2.5454,14.2984,-15.559,0.1096,0.0296,0.0473,0.3515,Fruit_trees
19.4987,70.6452,41.777,0.2838,0.2499,-26.5651,0.096,0.162,0.8391,0.3498,0.1428,0.0797,-4.2967,2.2697,0.2718,0.5079,-3.4419,-5.8694,-16.1657,0.0724,0.1221,0.2839,0.0939,Fruit_trees
20.0983,68.0116,42.1335,0.2258,0.3192,-54.4623,0.1027,0.1451,0.8439,0.3645,0.1418,0.0896,-8.1079,-3.1609,0.2737,0.5669,-3.6492,12.679,29.5516,0.0598,0.1207,0.2643,0.151,Fruit_trees
22.6282,59.3978,46.3588,0.1706,0.0602,61.8214,0.0397,0.0866,0.9098,0.105,0.0517,0.0366,-44.9944,42.5443,0.2543,0.1865,2.8645,22.4268,-33.6221,0.0126,0.0284,0.0554,0.0969,Grass
9.3453,44.7623,40.482,0.1901,0.0758,-2.1409,0.0597,0.113,0.868,0.1302,0.0538,0.0366,-53.6841,47.4302,0.1812,0.2485,3.8262,38.416,-36.0532,0.0117,0.0278,0.078,0.1031,Grass
17.6662,17.4871,42.735,0.1549,0.0626,-26.0954,0.0412,0.0975,0.8755,0.1251,0.0514,0.0376,-85.6513,7.558,0.2426,0.2013,-1.4133,-36.2725,-36.8052,0.0098,0.041,0.0826,0.0807,Grass
8.114,13.2731,42.8531,0.2584,0.069,-70.9065,0.0259,0.0616,0.8473,0.1231,0.0505,0.0297,-70.5585,47.39,0.3155,0.1565,10.5838,34.0208,26.546,0.0192,0.0146,0.0754,0.094,Grass
19.4806,70.655,45.0903,0.2452,0.0694,-51.8428,0.0393,0.0576,0.9001,0.1043,0.0537,0.0326,-53.1548,48.6987,0.2128,0.1663,0.9316,-11.7412,21.8882,0.019,0.0221,0.0569,0.0926,Grass
9.5916,21.6715,42.4543,0.352,0.0578,-1.4502,0.0204,0.0788,0.8547,0.1114,0.0532,0.0255,-77.9896,65.0468,0.2243,0.157,-7.8562,-35.3913,30.0984,0.0263,0.0036,0.0618,0.0983,Grass
17.446,9.5285,42.8643,0.3932,0.0939,-24.0875,0.0131,0.0893,0.8248,0.1177,0.052,0.0227,-86.9914,35.5696,0.3069,0.1964,8.6285,32.8555,30.7422,0.0548,0.0006,0.0434,0.0937,Grass
8.2943,78.2861,40.5961,0.2529,0.0863,-31.6075,0.0296,0.0928,0.8678,0.1155,0.0514,0.0307,-41.3236,59.2396,0.1382,0.2087,3.8674,15.6539,-15.1461,0.0177,0.0291,0.0779,0.0729,Grass
22.1252,62.7065,43.0879,0.3523,0.0477,-43.6678,0.0199,0.1007,0.8423,0.113,0.051,0.0244,-55.4809,53.5033,0.2766,0.1683,1.081,-17.4371,-39.0996,0.025,0.0115,0.0709,0.0811,Grass
22.2781,66.6845,45.0033,0.2489,0.0712,-89.1575,0.0285,0.0858,0.8826,0.1059,0.0503,0.0302,-37.7632,39.4636,0.2629,0.1855,3.115,8.9051,-17.7267,0.0199,0.0235,0.0646,0.0783,Grass
21.804,50.9229,43.8983,0.2333,0.072,7.5946,0.0474,0.1036,0.8734,0.1214,0.0542,0.0337,-43.1041,24.4145,0.3031,0.2229,1.4002,30.1344,-33.5529,0.05,0.0031,0.008,0.1482,Grass
22.1625,60.0449,46.4617,0.1996,0.0585,-12.8356,0.0515,0.0598,0.9085,0.0964,0.0489,0.0326,-50.8245,51.4436,0.2314,0.1698,-1.648,21.0578,-41.8415,0.0333,0.0155,0.0242,0.105,Grass
16.6382,75.1973,45.1971,0.2436,0.0648,-11.5922,0.0353,0.0495,0.9097,0.0915,0.0495,0.0301,-45.798,45.241,0.1628,0.1496,0.8995,8.344,-14.3272,0.0183,0.0249,0.0521,0.0759,Grass
20.2344,66.394,44.5164,0.3983,0.059,-45,0.0194,0.0978,0.8681,0.1029,0.0561,0.0242,-74.1185,74.7998,0.2014,0.1762,-2.2481,14.2351,-39.6876,0.0433,0.0013,0.0422,0.0964,Grass
18.8088,58.5252,46.1402,0.1857,0.1436,61.8214,0.0711,0.1613,0.9,0.236,0.1126,0.0773,67.1197,-72.5003,0.2662,0.376,7.4798,20.9591,15.5261,0.0884,0.0248,0.0315,0.2812,Peas
15.7198,27.6822,46.0866,0.1899,0.1518,90,0.0746,0.1003,0.9214,0.237,0.1274,0.0867,79.3393,-45.5155,0.1724,0.3268,-2.566,35.9598,38.427,0.059,0.0342,0.0443,0.3135,Peas
7.2459,21.6473,43.2495,0.2475,0.1722,-5.5722,0.1358,0.1919,0.893,0.2686,0.1339,0.0808,58.5337,3.042,0.1477,0.5,5.5217,38.088,42.7372,0.0354,0.0461,0.133,0.2687,Peas
8.0947,34.8919,43.3475,0.225,0.268,29.2113,0.0425,0.2033,0.8906,0.2865,0.1371,0.0867,28.4197,-24.0778,0.1819,0.5138,-5.8119,-40.3442,33.5513,0.0181,0.0782,0.1534,0.2606,Peas
15.4806,56.2136,46.9068,0.2174,0.1901,35.1542,0.0984,0.2017,0.915,0.235,0.1264,0.0813,35.9818,-70.1164,0.1979,0.4902,9.2188,26.6898,7.4912,0.0718,0.0316,0.0413,0.298,Peas
8.37,60.0175,43.4055,0.1415,0.2665,12.7244,0.1668,0.1553,0.9006,0.2639,0.1199,0.0901,24.1853,-78.5749,0.1648,0.5886,5.8099,-35.0556,-10.7044,0,0.1138,0.0916,0.2685,Peas
13.1525,71.1138,42.5957,0.1667,0.1625,15.1011,0.0763,0.1824,0.887,0.2797,0.1226,0.0876,30.1169,-61.8607,0.2367,0.4213,0.9874,-35.6276,20.0479,0,0.0426,0.0388,0.4085,Peas
7.9807,80.7053,44.1633,0.0799,0.2159,33.6901,0.0946,0.1265,0.9258,0.2491,0.1202,0.1024,3.4409,3.0491,0.0996,0.437,-1.7051,-19.6876,31.8089,0,0.0256,0.0378,0.4083,Peas
8.809,75.3895,47.8222,0.1295,0.2138,-38.6598,0.1224,0.1736,0.9426,0.2439,0.1378,0.1062,5.9661,23.2254,0.1112,0.5098,-6.2197,-32.0541,33.5588,0.0075,0.1088,0.1056,0.2659,Peas
11.7595,66.721,49.2331,0.1501,0.2139,75.3236,0.1017,0.1717,0.9491,0.2545,0.1542,0.114,55.6787,-50.8176,0.0801,0.4872,-4.6659,-40.3779,34.8524,0.0261,0.1206,0.1187,0.2573,Peas
19.38,31.4513,48.1083,0.1162,0.1557,68.7495,0.1514,0.1348,0.9446,0.2599,0.1463,0.1158,59.6062,-29.8245,0.1799,0.4419,-2.5021,-36.6853,36.915,0.0117,0.0914,0.0992,0.3197,Peas
12.3767,77.3475,40.7756,0.1435,0.0724,-33.3885,0.0496,0.13,0.8683,0.1616,0.0635,0.0476,-47.5968,44.2824,0.2168,0.252,2.557,-8.7799,33.5142,0.0086,0.0187,0.0803,0.1651,Unclass
19.6397,13.5723,43.5353,0.1532,0.0894,-31.6075,0.0707,0.0894,0.8741,0.1889,0.0769,0.0565,-82.5603,-38.1255,0.2091,0.2495,4.173,-35.4295,-34.5806,0.0077,0.1236,0.1637,0.0272,Unclass
18.0559,63.7213,40.959,0.0976,0.1042,-43.6553,0.0565,0.1001,0.8133,0.1847,0.0555,0.0457,-80.4422,81.0014,0.307,0.2608,5.8359,-18.0189,-42.5326,0.024,0,0.1192,0.1142,Unclass
19.9362,52.5813,38.5612,0.0723,0.178,-33.6901,0.0614,0.1071,0.7809,0.2536,0.0661,0.0572,-55.0531,53.4647,0.3051,0.3465,2.5846,32.1907,-37.9398,0.0285,0,0.1679,0.1444,Unclass
16.7422,83.3246,39.9332,0.0425,0.2981,-13.183,0.113,0.1518,0.8197,0.2957,0.0861,0.0791,-51.7253,22.1153,0.2712,0.563,3.7687,13.6925,-5.5839,0,0.1769,0.2702,0.0138,Unclass
11.6911,70.2486,39.0204,0.0675,0.1545,-43.9949,0.105,0.1215,0.845,0.3041,0.1001,0.0875,-53.9983,69.0088,0.1747,0.3809,0.4787,41.0738,-22.8172,0.0008,0.103,0.2112,0.1766,Unclass
5.34,61.3165,38.9402,0.0689,0.1335,-3.1798,0.0555,0.1467,0.8751,0.2585,0.0965,0.084,-47.459,59.7105,0.1002,0.3356,-1.4199,39.0023,-41.6069,0.0327,0.0026,0.0687,0.335,Unclass
10.4388,66.6264,39.2588,0.1775,0.0822,-43.5312,0.0506,0.0966,0.8227,0.1796,0.0609,0.0425,-56.6641,65.9861,0.233,0.2293,6.602,-23.7193,-39.9673,0.0119,0.0915,0.1668,0.0129,Unclass
15.2339,76.2793,37.8969,0.117,0.1914,-18.1219,0.0443,0.095,0.7964,0.2617,0.0754,0.0596,-42.0755,29.2566,0.2576,0.3307,4.1682,-8.5504,-24.2788,0.0412,0,0.1835,0.1376,Unclass
12.8002,62.8792,38.2269,0.1185,0.3349,15.9454,0.0957,0.2446,0.8115,0.324,0.0989,0.0779,-32.6347,1.3261,0.2617,0.6752,4.9767,-29.1333,-38.242,0.0063,0.1598,0.2929,0.0418,Unclass
8.9526,59.4082,35.8647,0.1303,0.2467,-18.2325,0.1031,0.2073,0.8156,0.3427,0.1075,0.0827,-36.3301,11.7895,0.1771,0.5571,1.5438,-36.4688,-40.9141,0.0117,0.0703,0.2315,0.2193,Unclass
4.8266,30.6889,35.7082,0.1931,0.2086,7.4314,0.0621,0.1673,0.8295,0.293,0.1037,0.0701,-49.1361,38.8291,0.1037,0.438,1.753,-41.727,43.6201,0.0229,0.0137,0.1557,0.2745,Unclass
10.4284,26.9967,39.4944,0.1521,0.0833,-17.5713,0.0386,0.136,0.8468,0.1748,0.0634,0.0467,-76.539,-30.7302,0.2163,0.2579,-4.1382,-37.81,-40.3278,0.0062,0.0445,0.1128,0.1214,Unclass
6.6197,53.3873,40.443,0.2114,0.1001,1.3322,0.0438,0.1209,0.8747,0.1548,0.0676,0.044,-66.0667,62.6458,0.1357,0.2648,-3.1761,37.4351,43.4202,0.0279,0.0028,0.048,0.1877,Unclass
10.7305,73.9749,40.1713,0.1992,0.1127,-27.7585,0.0365,0.0771,0.8651,0.1616,0.0667,0.0445,-24.3555,36.5631,0.1709,0.2264,1.8998,-24.044,34.0442,0.0169,0.0146,0.0823,0.159,Unclass
11.1879,67.7155,39.6756,0.1885,0.1917,9.3771,0.0567,0.0863,0.8525,0.226,0.0873,0.0596,-19.5933,12.8887,0.1852,0.3346,2.3982,-28.4512,-42.1737,0.0214,0.0487,0.1463,0.1566,Unclass
11.3801,56.9352,39.7214,0.1918,0.2665,-18.1038,0.1047,0.2332,0.8427,0.2962,0.1103,0.0748,-17.1786,5.5193,0.2152,0.6043,4.2332,-31.965,-42.746,0.009,0.0853,0.1976,0.1895,Unclass
8.2425,50.5991,36.8799,0.2025,0.3432,-25.6768,0.1294,0.2419,0.8264,0.3349,0.1183,0.0785,-42.696,25.37,0.1738,0.7146,2.2415,-37.7487,43.0468,0.0175,0.0346,0.1908,0.2887,Unclass
9.9994,46.9528,37.0389,0.2041,0.2596,-4.8991,0.0415,0.2264,0.8141,0.3043,0.1027,0.0679,-44.9123,44.8979,0.2154,0.5276,3.054,-36.5055,43.5995,0.0213,0.0141,0.1702,0.2694,Unclass
